accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.2032,0.203466859286587,0.2032,0.202165149196468,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2032,0.202823335889756,0.2032,0.201340374535979,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.2028,0.203259796866291,0.2028,0.201953093967324,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2028,0.204538995857087,0.2028,0.202728391233831,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.2024,0.202632781287865,0.2024,0.200972962248321,5,50,6,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2012,0.199884204829899,0.2012,0.189261052788846,5,125,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.2008,0.090112540192926,0.2008,0.0691442854752343,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.2004,0.200270736622641,0.2004,0.199044844559426,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2004,0.0818239259927244,0.2004,0.0762931814642236,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,8,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.2,0.04,0.2,0.0666666666666667,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.2,0.198500811270932,0.2,0.153629547899089,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.1976,0.123391084763073,0.1976,0.0708128028418376,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.1968,0.198262428795854,0.1968,0.194531344639876,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.194,0.195003222320079,0.194,0.193070724702525,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,16
0.1932,0.248769077031795,0.1932,0.120456128790442,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.1912,0.195008361617927,0.1912,0.190689183396809,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.1892,0.190786423022872,0.1892,0.187780899167146,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.1884,0.200840827528199,0.1884,0.189644237772468,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.1864,0.192037347154077,0.1864,0.185966362223205,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.1832,0.182069412487311,0.1832,0.182023161865178,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.1788,0.191368727064232,0.1788,0.181526832945357,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.1752,0.176707576590188,0.1752,0.173143115639545,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.1724,0.171987035788353,0.1724,0.170490484020324,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.166,0.167429443891768,0.166,0.163412932734533,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
